"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"AR",0.775962660443407,0.925112270906663,0.0324330694656715,0.177262026762857,0.893499821227276,431,"AR",87,87
"ATF2",0.0485338725985844,0.148594564408042,0.204294756516886,0.20922756808324,1.12691673286431,2025,"AR",52,87
"ATF3",0.95114006514658,0.973875563075938,0.0711327399327894,-0.163824130192445,-0.750874259047637,85,"AR",101,87
"BCL3",0.394557823129252,0.615749330035044,0.0714786287425507,0.226635114623284,1.02978109926455,160,"AR",65,87
"BCLAF1",0.668514412416851,0.87160739846754,0.0370705393657621,0.182161727786972,0.940825931324198,605,"AR",80,87
"BHLHE40",0.94954128440367,0.973875563075938,0.0894366833718621,-0.15052166368277,-0.83063077734068,268,"AR",94,87
"BRCA1",0.0022191389882545,0.0163265225564439,0.431707695803346,0.222247865138507,1.19853850823169,2347,"AR",33,87
"CBX3",0.865269461077844,0.948114409478914,0.0390355298112393,0.198820496478005,0.75358658710599,53,"AR",100,87
"CEBPB",0.23728813559322,0.409845384265575,0.166933848713193,-0.225567814328033,-1.09260480039184,113,"AR",60,87
"CEBPD",0.0983050847457627,0.230708195039335,0.148261500475107,0.228155719444725,1.1676409413535,541,"AR",44,87
"CHD1",0.000520798514352403,0.00596024966425528,0.477270815362862,0.277139641364457,1.41777635184552,526,"AR",12,87
"CREB1",0.0125197804359619,0.0544575772057205,0.380730400722792,0.227175926898731,1.21129447024154,1124,"AR",29,87
"CREB1",0.115071283095723,0.252177492741691,0.128142916898415,0.205127746938379,1.10357336194918,1625,"AR",57,87
"CTCF",0.271474019088017,0.443838475651837,0.0778840111977068,0.20013351253212,1.05947075398086,939,"AR",63,87
"E2F1",0.0429042904290429,0.138098184818482,0.227987202850442,0.228306464444498,1.18793421487685,673,"AR",40,87
"E2F4",4.30479655693855e-05,0.000886788090729341,0.557332238758646,0.290649355563203,1.4998256451749,613,"AR",5,87
"E2F6",0.990899898887765,1,0.00667841440698826,0.152842378942382,0.823006063050959,2119,"AR",95,87
"EGR1",0.259060402684564,0.430374539943711,0.0934449219410994,0.239186194287162,1.10207997444074,181,"AR",58,87
"EGR1",0.322314049586777,0.518724173553719,0.0745500777420554,0.212448383295461,1.05498419506295,368,"AR",64,87
"ELF1",0.0353156493584533,0.12125039613069,0.321775918075361,0.215628488649994,1.16099606960641,1798,"AR",46,87
"ERG",0.368770764119601,0.584359826220291,0.129442887745046,-0.213790204482275,-1.02679761059377,108,"AR",66,87
"ESR1",0.466960352422908,0.687098804279421,0.0668966276500666,0.256903862257863,0.995921584483329,61,"AR",70,87
"ETS1",0.149110807113543,0.301145355543038,0.130777137971974,0.271111464207336,1.20055430917792,130,"AR",31,87
